ID,ID in paper,CAS,SMILES,Hydrogen evolution rate / µmol/h,EA* / V,EA / V,Sr / a.u.,Δσ / Å,H(CT) / Å,D(Δ) / a.u.,E(exciton binding) / eV,E(solvation) / eV,E(binding) / eV,S1-S0 / eV,S1-T1 / eV,pos_0,pos_1,group,fps_cluster,fps_pos0,fps_pos1,b3lypsoap_pos0,b3lypsoap_pos1,b3lyp_cluster,dft_pos0,dft_pos1,dft_cluster,num_rotatable_bounds,b3lypsoapval_pos0,b3lypsoapval_pos1
726,506,873-74-5,N#Cc1ccc(N)cc1,0,1.167247995,-3.519352005,0.75766,-0.001,2.154,2.6511,0.250942821,-0.356661829,-0.29777675,4.6866,1.520700126,4.5168734,-1.023794,3,5,5.11002,12.275421,6.5691605,5.797891,1,6.165747,5.758831,2,,5.607492,4.190244
727,507,87486-34-8,Cn1cc(Br)nc(Br)c1=O,0,1.456489991,-2.262810009,0.72751,-0.63,1.609,0.729,0.430070319,-0.33093349,-0.629009843,3.7193,1.429123326,1.4472605,3.1301255,4,2,8.415143,9.208032,0.85822594,9.317365,3,2.452818,4.777531,5,,-0.57237303,7.8574944
728,508,876-31-3,N#CCc1ccc(C#N)cc1,0,2.231707976,-2.800892024,0.90846,0.419,1.5,0.5544,0.645233558,-0.398114734,-0.343210405,5.0326,1.612091672,4.772109,-0.40583965,3,5,5.5529294,11.143262,5.5657554,5.7175674,1,1.1962583,3.931635,5,,4.4798775,3.843914
729,509,88-45-9,Nc1ccc(N)c(S(=O)(=O)O)c1,0,0.247360088,-3.349339912,0.69586,-0.252,1.601,0.938,0.562537817,-0.486715761,-0.556998938,3.5967,1.044578078,3.5441368,6.11433,5,3,6.7594657,12.193014,3.7817373,12.44315,4,5.0771437,8.221796,2,,5.4380684,12.374108
730,510,886363-61-7,Nc1c(Br)cc2[nH]cnc2c1Br,0,0.675458413,-3.448341587,0.76991,-0.014,1.632,2.3419,0.527723024,-0.39414534,-0.63521201,4.1238,0.175522409,1.0034596,2.8390946,4,2,9.3881645,9.212696,0.08486006,9.62882,3,6.364505,7.1678658,2,,-1.2604927,7.7037024
731,511,886364-86-9,Cc1cc(C#N)ncc1Br,0,2.206754126,-2.473045874,0.47279,0.389,1.172,2.0587,0.574894958,-0.24184832,-0.354727244,4.6798,0.934856729,4.3348746,-0.30414036,3,3,7.5113187,10.885507,5.4093733,5.467404,4,3.442751,3.3766959,5,,4.373764,3.6184168
732,512,886-66-8,C(C#Cc1ccccc1)#Cc1ccccc1,0,0.916499291,-2.509000709,0.84439,0.273,1.992,0,0.415624904,-0.161304205,-0.49231465,3.4255,0.916535442,5.303247,2.0608878,1,1,2.2816768,9.165706,6.224059,9.889394,2,-2.0526667,5.5098605,1,,4.6899285,8.832846
733,513,888041-37-0,Brc1ccc2c3ccc(Br)cc3c3ccccc3c2c1,0,0.968512163,-2.948987837,0.94071,-0.197,2.001,0.1285,0.56128814,-0.170039332,-0.825915167,3.9175,0.870723504,6.11172,3.2763119,1,4,3.2076423,5.7619877,4.0585313,9.335869,5,-2.1835067,5.7224,1,,2.9558456,8.408072
734,514,88946-67-2,COc1cc(C#N)c(C#N)cc1OC,0,1.628191675,-2.462508325,0.80106,-0.019,1.855,3.5059,0.27243168,-0.44833327,-0.459658959,4.0907,1.483360263,3.2710183,5.244876,5,3,8.30645,11.838084,4.700625,6.986791,4,8.409595,4.500827,3,,7.4290805,11.837241
735,515,89-32-7,O=c1oc(=O)c2cc3c(=O)oc(=O)c3cc12,0,2.949001686,-0.861198314,0.51385,-0.781,2.478,0.0006,1.182186516,-0.436654207,-0.345153846,3.8102,0.591310746,5.0775595,5.37261,5,4,2.892526,6.8038063,4.7197313,12.550993,5,-1.1077981,2.3193662,1,,2.9974804,11.91854
736,516,898-22-6,CCOC(=O)c1nc(C(=O)OCC)nc(C(=O)OCC)n1,0.001078391,2.16214811,-1.54865189,0.52688,-0.409,1.468,0.0945,1.159292893,-0.569734145,-0.510461626,3.7108,0.23766812,2.6912754,6.4240603,5,5,2.7938204,13.75516,10.309699,10.594958,1,-1.523607,3.2078972,1,,7.203857,12.89172
737,517,9003-53-6,C=Cc1ccccc1,0,1.400523645,-3.406876355,0.83568,0.071,1.142,0.3191,0.264549092,-0.091468608,-0.274767793,4.8074,2.046861524,6.7637305,0.98256856,2,1,2.5994968,9.408058,7.8966427,8.784864,2,0.4799431,6.7929907,4,,6.494674,9.308991
738,518,90271-86-6,N#Cc1c[nH]c2ccc(Br)cc12,0.014996589,1.33484777,-3.25435223,0.79687,-0.14,1.916,1.3988,0.375430936,-0.401861376,-0.421138455,4.5892,1.330362362,3.187149,2.0419164,4,2,9.028936,10.285658,2.2849388,8.760984,3,3.695326,6.1627965,4,,1.2048837,7.5578437
739,519,90-41-5,Nc1ccccc1-c1ccccc1,0,0.439257778,-3.705442222,0.62414,0.556,1.843,3.2821,0.578288605,-0.186550713,-0.341954844,4.1447,0.860813394,6.3420696,0.006010264,2,1,2.5099025,8.764453,6.8165255,6.983711,2,6.6687956,5.5189385,2,,5.9474816,5.257235
740,520,90-47-1,O=c1c2ccccc2oc2ccccc12,7.475810969,1.344586567,-2.424613433,0.46078,1.103,1.251,2.4723,0.502079202,-0.199147559,-0.555807717,3.7692,0.468925503,5.560772,4.119907,1,4,3.14354,7.515567,5.798451,10.960723,5,9.1019535,8.251068,2,,4.103256,10.264287
741,521,909280-97-3,Brc1cc2cc3sc(Br)cc3cc2s1,0,0.953981306,-2.849218694,0.85201,-0.052,2.721,0.003,0.262617479,-0.131965009,-0.656438258,3.8032,1.230306684,4.074522,2.7460108,1,3,5.3458037,8.32352,1.6542996,8.046166,4,-3.2325413,5.116512,1,,1.1841073,6.5779996
742,522,91-01-0,OC(c1ccccc1)c1ccccc1,0,1.457934219,-3.881465781,0.95194,-0.004,2.189,0.3417,0.51490945,-0.201784007,-0.397142641,5.3394,1.263823087,6.9103208,1.0631827,2,1,2.147401,9.135091,8.231226,9.0974,2,0.8754375,6.937128,4,,6.297656,9.785563
743,523,911818-75-2,O=C(O)c1ccc(-c2ccc(-c3cc(-c4ccc(-c5ccc(C(=O)O)cc5)cc4)cc(-c4ccc(-c5ccc(C(=O)O)cc5)cc4)c3)cc2)cc1,0,1.225912744,-2.527887256,0.76256,2.274,4.301,2.9848,0.228257288,-0.678487915,-0.868580929,3.7538,0.863133456,6.904336,3.6595418,1,1,1.3771794,11.654871,6.2191334,11.455788,2,8.361559,3.663658,3,,4.555453,10.531087
744,524,91-20-3,c1ccc2ccccc2c1,0,1.09678831,-3.26711169,0.91369,0.063,1.592,0,0.324577765,-0.101376161,-0.342580699,4.3639,1.753406728,6.548752,1.5868527,2,4,3.528321,7.771919,7.2094927,9.168293,5,0.53884816,7.0399756,4,,5.6354184,8.70968
745,525,917-23-7,C1=Cc2nc1c(-c1ccccc1)c1ccc([nH]1)c(-c1ccccc1)c1nc(c(-c3ccccc3)c3ccc([nH]3)c2-c2ccccc2)C=C1,1.324918928,0.350858955,-1.782841045,0.93462,0.084,0.768,0.0546,0.219395263,-0.321433481,-1.06320981,2.1337,0.685706256,8.049637,2.1586804,2,1,0.69224113,10.684695,6.3857303,7.8732023,2,-0.37336367,7.0127068,4,,5.796152,7.046968
747,526,92-06-8,c1ccc(-c2cccc(-c3ccccc3)c2)cc1,0,1.266644514,-3.328555486,0.92845,0.023,1.471,0.1223,0.286386483,-0.156831021,-0.553766156,4.5952,1.246334765,7.1258993,1.9780762,2,1,1.2537445,9.772097,6.8723497,9.080835,2,0.73816156,7.0317492,4,,5.651261,8.479583
748,527,92-24-0,c1ccc2cc3cc4ccccc4cc3cc2c1,0.161819428,-0.397147641,-1.120847641,0.7358,0.351,3.023,3.0207,0.166460236,-0.185147291,-0.871836985,0.7237,1.02797992,6.730965,2.7598956,1,4,3.593087,7.3257236,6.0076337,9.591787,5,8.7593355,3.297438,3,,4.827155,8.461067
749,528,92-52-4,c1ccc(-c2ccccc2)cc1,0,1.316573405,-3.510726595,0.86232,0.086,1.305,0,0.345907319,-0.116094862,-0.377245579,4.8273,1.399609351,6.672291,1.3704331,2,1,2.2473588,9.119912,7.3970995,9.034539,2,0.6448814,7.2577033,4,,5.897412,8.797644
750,529,92-82-0,c1ccc2nc3ccccc3nc2c1,0,1.350068591,-1.773731409,0.82376,-0.412,2.184,0,0.33425527,-0.162431597,-0.512212988,3.1238,0.919779546,5.225686,0.06809305,3,1,3.3094249,8.108141,6.0330386,6.996246,2,-2.2381246,4.133295,1,,4.4864726,4.5892506
751,530,92-86-4,Brc1ccc(-c2ccc(Br)cc2)cc1,0,1.343854813,-3.122845187,0.82615,-0.604,3.011,0.0068,0.343913617,-0.139135186,-0.447901722,4.4667,1.213560033,4.763969,2.984605,1,5,3.9410284,10.892299,3.2625797,9.351611,1,-2.5305398,4.8325443,1,,2.2281559,8.026748
752,531,92-88-6,Oc1ccc(-c2ccc(O)cc2)cc1,0.004011022,0.669539316,-3.898660684,0.84105,-0.3,0.754,0.0104,0.326490275,-0.32317778,-0.378322252,4.5682,1.32163431,6.343373,1.8276539,1,5,4.1398516,10.727135,6.5996923,11.200797,1,1.4483855,8.532171,4,,5.3213725,10.77504
753,532,92-92-2,O=C(O)c1ccc(-c2ccccc2)cc1,0,1.503899297,-2.711700703,0.72755,0.143,2.647,4.7132,0.373733149,-0.232333562,-0.229892037,4.2156,1.182190656,6.2944655,1.915326,1,1,2.9329913,9.616179,6.4466815,11.289852,2,8.346196,3.960366,3,,5.016542,10.651656
755,533,93-02-7,COc1ccc(OC)c(C=O)c1,10.86698124,0.787009237,-2.661290763,0.62436,-0.131,1.411,2.9799,0.557853492,-0.263070331,-0.546147928,3.4483,0.921468932,2.7527452,6.2493434,5,3,6.825688,8.077351,10.088875,10.102525,4,7.133472,4.7421646,2,,6.856227,12.403114
756,534,932-95-6,O=Cc1ccc(C=O)s1,0.129056463,1.727073749,-1.653326251,0.50853,-0.691,0.867,0.2308,1.281342636,-0.240744902,-0.331601752,3.3804,0.837997834,4.3631077,4.819899,5,3,5.787542,9.050674,4.172032,11.747371,4,2.6369154,5.539431,4,,2.0814083,6.128683
757,535,934-32-7,Nc1nc2ccccc2[nH]1,0,0.578365836,-4.300234164,0.84567,-0.177,1.865,1.4724,0.527243471,-0.396314652,-0.41630549,4.8786,1.273396158,4.3040805,-1.2185317,3,1,3.1984446,8.241398,6.6969943,5.5360823,2,5.0029106,8.130872,2,,5.7457237,3.9056234
758,536,934365-16-9,CC1(C)OB(c2ccc(B3OC(C)(C)C(C)(C)O3)c3nsnc23)OC1(C)C,0,1.777776747,-1.829423253,0.8213,0.04,1.615,1.9638,0.906981334,-0.359794611,-1.040544214,3.6072,1.459257936,8.537786,-0.7360906,2,4,3.3161223,3.3847406,10.568527,7.2150397,5,3.6711845,4.4450393,5,,9.125436,9.680253
759,537,935-14-8,C#Cc1ccc(C#C)cc1,0,1.510218023,-2.857481977,0.84885,-0.278,0.994,0.0001,0.29187248,-0.143967587,-0.306590828,4.3677,1.6031591,5.1514473,2.109296,1,5,5.61252,11.874549,6.31263,10.042927,1,0.5967248,6.622639,4,,4.6501417,8.965259
760,538,93655-34-6,COC(=O)c1cccc2cc3cccc(C(=O)OC)c3cc12,0.037811743,0.893591252,-2.021708748,0.86067,0.391,1.59,0.3488,0.2296611,-0.331548983,-0.876664375,2.9153,1.131669449,3.278185,5.2895036,5,5,3.081839,13.243627,9.908621,11.1574955,1,-3.1053355,5.7109327,1,,7.469406,12.101097
761,539,941-69-5,O=C1C=CC(=O)N1c1ccccc1,0,1.303978898,-1.825721102,0.38054,-0.401,1.452,5.4352,0.920838442,-0.263310281,-0.496319462,3.1297,0.294178208,4.7187696,1.0548135,3,4,4.4457097,7.1636105,3.6313715,7.216016,5,9.011645,1.9233903,3,,3.3408873,5.8385005
762,540,94-41-7,O=C(/C=C/c1ccccc1)c1ccccc1,0.14585182,1.3106615,-2.0651385,0.47776,1.285,1.386,2.316,0.569079985,-0.238881091,-0.390217983,3.3758,0.81911858,6.5948505,1.459658,2,1,2.2272701,9.350225,7.434275,10.308029,2,11.365134,4.6201982,3,,5.7873936,9.878269
763,541,95-01-2,O=Cc1ccc(O)cc1O,0.896402476,0.961101327,-2.927998673,0.47626,0.756,1.348,2.4401,0.902278221,-0.380502928,-0.516500171,3.8891,0.597884425,4.4203053,5.8362193,5,3,6.89454,7.062584,4.1350336,12.657869,4,7.804531,7.9248734,2,,3.2896214,12.302193
765,542,957230-70-5,Nc1nc(Br)cnc1Br,0.066595677,1.302042264,-2.777557736,0.72238,-0.482,1.351,1.1917,0.580311723,-0.203803657,-0.39075315,4.0796,0.357069672,1.066052,2.37409,4,2,8.973078,9.380858,0.15729347,9.291728,3,2.954764,6.3251185,4,,-1.0360731,7.4979033
